timestamp, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/30 12:51:25.380, 54.05 W, [N/A], 2497 MHz, 9001 MHz, 60, 99 %, 86 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:25.883, 54.09 W, [N/A], 2407 MHz, 9001 MHz, 60, 99 %, 88 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:26.385, 53.91 W, [N/A], 2355 MHz, 9001 MHz, 60, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:26.889, 53.18 W, [N/A], 2325 MHz, 9001 MHz, 60, 99 %, 86 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:27.392, 53.41 W, [N/A], 2340 MHz, 9001 MHz, 60, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:27.894, 54.67 W, [N/A], 2325 MHz, 9001 MHz, 60, 98 %, 89 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:28.397, 54.95 W, [N/A], 2302 MHz, 9001 MHz, 60, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:28.899, 54.74 W, [N/A], 2355 MHz, 9001 MHz, 61, 99 %, 87 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:29.401, 54.04 W, [N/A], 2370 MHz, 9001 MHz, 61, 99 %, 88 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:29.905, 55.41 W, [N/A], 2385 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:30.407, 54.10 W, [N/A], 2370 MHz, 9001 MHz, 61, 99 %, 87 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:30.910, 54.74 W, [N/A], 2377 MHz, 9001 MHz, 61, 99 %, 88 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:31.413, 54.93 W, [N/A], 2422 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:31.915, 55.64 W, [N/A], 2347 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:32.418, 55.74 W, [N/A], 2377 MHz, 9001 MHz, 61, 99 %, 90 %, 6563 MiB, 8151 MiB
2026/08/30 12:51:32.920, 58.29 W, [N/A], 2370 MHz, 9001 MHz, 61, 97 %, 76 %, 6554 MiB, 8151 MiB
2026/08/30 12:51:33.425, 55.09 W, [N/A], 2415 MHz, 9001 MHz, 61, 99 %, 90 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:33.928, 55.22 W, [N/A], 2370 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:34.430, 55.05 W, [N/A], 2362 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:34.933, 55.75 W, [N/A], 2362 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:35.436, 55.26 W, [N/A], 2407 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:35.939, 54.37 W, [N/A], 2362 MHz, 9001 MHz, 61, 99 %, 90 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:36.442, 53.91 W, [N/A], 2400 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:36.949, 54.40 W, [N/A], 2250 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:37.452, 54.94 W, [N/A], 2317 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:37.955, 54.99 W, [N/A], 2317 MHz, 9001 MHz, 61, 98 %, 89 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:38.458, 54.74 W, [N/A], 2220 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:38.961, 55.68 W, [N/A], 2317 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:39.464, 57.05 W, [N/A], 2280 MHz, 9001 MHz, 61, 95 %, 85 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:39.967, 56.08 W, [N/A], 2340 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:40.470, 55.23 W, [N/A], 2340 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:40.973, 55.87 W, [N/A], 2332 MHz, 9001 MHz, 61, 99 %, 90 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:41.477, 55.95 W, [N/A], 2347 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:41.980, 55.93 W, [N/A], 2347 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:42.484, 56.06 W, [N/A], 2347 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:42.987, 56.00 W, [N/A], 2265 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:43.490, 56.04 W, [N/A], 2347 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:43.994, 56.03 W, [N/A], 2325 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:44.497, 55.90 W, [N/A], 2295 MHz, 9001 MHz, 61, 98 %, 90 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:45.000, 56.08 W, [N/A], 2340 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
